stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,coef,se,caption,new_caption,new_caption2,FIGURE,CR_P_RELIABLE,CR_Q_RELIABLE,ZERO
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,"Other, non-Hispanic",6.6,"5.0,  8.4","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Socio-economic status,education,Education,High school diploma or lower,15,"13.8, 16.2","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Socio-economic status,education,Education,Some college,8.8,"7.9,  9.7","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Socio-economic status,education,Education,College degree or higher,4.5,"4.0,  5.1","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,msa,Place of residence,Large MSA,7.4,"6.7,  8.2","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,msa,Place of residence,Small MSA,10.1,"9.0, 11.2","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,msa,Place of residence,Not in MSA,14.3,"13.0, 15.7","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,ind,Total,Total,9.7,"9.2, 10.2","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,sex,Sex,Male,7.4,"6.7,  8.1","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,sex,Sex,Female,11.8,"11.1, 12.6","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,18-34,11.9,"10.9, 13.0","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,35-49,11.4,"10.3, 12.6","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,50-64,8.6,"7.8,  9.6","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,65 and over,5.8,"4.8,  6.9","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,Hispanic,7.1,"5.5,  9.0","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,"Black, non-Hispanic",11.1,"10.4, 11.8","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,"White, non-Hispanic",8.1,"6.6,  9.8","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,"Other, non-Hispanic",6.3,"4.9,  8.0","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Socio-economic status,education,Education,High school diploma or lower,7,"6.2,  8.0","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Socio-economic status,education,Education,Some college,10.3,"9.3, 11.3","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Socio-economic status,education,Education,College degree or higher,11.3,"10.2, 12.6","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,msa,Place of residence,Large MSA,10.3,"9.7, 11.0","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,msa,Place of residence,Small MSA,9.8,"8.9, 10.8","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic Characteristics,msa,Place of residence,Not in MSA,7.1,"6.1,  8.3","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,ind,Total,Total,65.1,"63.9, 66.3","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,sex,Sex,Male,61.6,"60.0, 63.1","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,sex,Sex,Female,68.4,"66.9, 69.9","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,18-34,64.8,"63.0, 66.5","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,35-49,65.4,"63.5, 67.4","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,50-64,66.4,"64.5, 68.3","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,65 and over,63.7,"61.9, 65.5","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,Hispanic,58.2,"55.2, 61.2","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,"Black, non-Hispanic",68.2,"66.8, 69.5","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,"White, non-Hispanic",57.8,"55.0, 60.4","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,"Other, non-Hispanic",66.2,"62.5, 69.7","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Socio-economic status,education,Education,High school diploma or lower,52.4,"50.7, 54.2","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Socio-economic status,education,Education,Some college,65.1,"63.3, 66.8","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Socio-economic status,education,Education,College degree or higher,79.2,"77.9, 80.5","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,msa,Place of residence,Large MSA,67.6,"66.0, 69.2","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,msa,Place of residence,Small MSA,64.9,"62.7, 67.0","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic Characteristics,msa,Place of residence,Not in MSA,56.4,"53.8, 59.1","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,ind,Total,Total,88.1,"87.4, 88.7","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,sex,Sex,Male,83.7,"82.5, 84.8","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,sex,Sex,Female,92.1,"91.4, 92.9","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,18-34,81.6,"80.3, 83.0","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,35-49,85.1,"83.7, 86.5","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,50-64,91.1,"90.0, 92.1","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,65 and over,96.8,"96.3, 97.3","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,Hispanic,82,"79.6, 84.2","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,"Black, non-Hispanic",89.7,"89.0, 90.4","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,"White, non-Hispanic",89.6,"87.5, 91.5","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,"Other, non-Hispanic",85.7,"83.0, 88.1","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Socio-economic status,education,Education,High school diploma or lower,86.8,"85.6, 88.0","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Socio-economic status,education,Education,Some college,88.9,"87.3, 90.4","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Socio-economic status,education,Education,College degree or higher,90.9,"89.9, 91.8","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,msa,Place of residence,Large MSA,87.8,"86.7, 88.7","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic Characteristics,msa,Place of residence,Small MSA,88.2,"86.8, 89.5","Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,,1,1
